"DisplayName","ServiceName","StartType","Status"
"AllJoyn Router Service","AJRouter","Manual","Stopped"
"Application Layer Gateway Service","ALG","Manual","Stopped"
"Application Identity","AppIDSvc","Manual","Stopped"
"Application Information","Appinfo","Manual","Running"
"Application Management","AppMgmt","Manual","Stopped"
"App Readiness","AppReadiness","Manual","Stopped"
"Microsoft App-V Client","AppVClient","Disabled","Stopped"
"AppX Deployment Service (AppXSVC)","AppXSvc","Manual","Running"
"AssignedAccessManager Service","AssignedAccessManagerSvc","Manual","Stopped"
"Windows Audio Endpoint Builder","AudioEndpointBuilder","Automatic","Running"
"Windows Audio","Audiosrv","Automatic","Running"
"ActiveX Installer (AxInstSV)","AxInstSV","Manual","Stopped"
"GameDVR and Broadcast User Service_346ae","BcastDVRUserService_346ae","Manual","Stopped"
"BitLocker Drive Encryption Service","BDESVC","Manual","Stopped"
"Base Filtering Engine","BFE","Automatic","Running"
"Background Intelligent Transfer Service","BITS","Manual","Stopped"
"Bluetooth User Support Service_346ae","BluetoothUserService_346ae","Manual","Stopped"
"Background Tasks Infrastructure Service","BrokerInfrastructure","Automatic","Running"
"Bluetooth Audio Gateway Service","BTAGService","Manual","Stopped"
"AVCTP service","BthAvctpSvc","Manual","Stopped"
"Bluetooth Support Service","bthserv","Manual","Stopped"
"Capability Access Manager Service","camsvc","Manual","Stopped"
"CaptureService_346ae","CaptureService_346ae","Manual","Stopped"
"Clipboard User Service_346ae","cbdhsvc_346ae","Manual","Running"
"Connected Devices Platform Service","CDPSvc","Automatic","Running"
"Connected Devices Platform User Service_346ae","CDPUserSvc_346ae","Automatic","Running"
"Certificate Propagation","CertPropSvc","Manual","Stopped"
"Client License Service (ClipSVC)","ClipSVC","Manual","Running"
"COM+ System Application","COMSysApp","Manual","Running"
"ConsentUX_346ae","ConsentUxUserSvc_346ae","Manual","Stopped"
"CoreMessaging","CoreMessagingRegistrar","Automatic","Running"
"Cryptographic Services","CryptSvc","Automatic","Running"
"Offline Files","CscService","Manual","Stopped"
"DCOM Server Process Launcher","DcomLaunch","Automatic","Running"
"Optimize drives","defragsvc","Manual","Stopped"
"Device Association Service","DeviceAssociationService","Manual","Stopped"
"Device Install Service","DeviceInstall","Manual","Stopped"
"DevicePicker_346ae","DevicePickerUserSvc_346ae","Manual","Stopped"
"DevicesFlow_346ae","DevicesFlowUserSvc_346ae","Manual","Stopped"
"DevQuery Background Discovery Broker","DevQueryBroker","Manual","Stopped"
"DHCP Client","Dhcp","Automatic","Running"
"Microsoft (R) Diagnostics Hub Standard Collector Service","diagnosticshub.standardcollector.service","Disabled","Stopped"
"Diagnostic Execution Service","diagsvc","Manual","Stopped"
"Connected User Experiences and Telemetry","DiagTrack","Automatic","Running"
"Display Enhancement Service","DisplayEnhancementService","Manual","Stopped"
"Device Management Enrollment Service","DmEnrollmentSvc","Manual","Stopped"
"Device Management Wireless Application Protocol (WAP) Push message Routing Service","dmwappushservice","Manual","Stopped"
"DNS Client","Dnscache","Automatic","Running"
"Delivery Optimization","DoSvc","Manual","Running"
"Wired AutoConfig","dot3svc","Manual","Stopped"
"Diagnostic Policy Service","DPS","Disabled","Stopped"
"Device Setup Manager","DsmSvc","Manual","Stopped"
"Data Sharing Service","DsSvc","Manual","Stopped"
"Data Usage","DusmSvc","Disabled","Stopped"
"Extensible Authentication Protocol","Eaphost","Manual","Stopped"
"Encrypting File System (EFS)","EFS","Manual","Stopped"
"Embedded Mode","embeddedmode","Manual","Stopped"
"Enterprise App Management Service","EntAppSvc","Manual","Stopped"
"Windows Event Log","EventLog","Automatic","Running"
"COM+ Event System","EventSystem","Automatic","Running"
"Fax","Fax","Manual","Stopped"
"Function Discovery Provider Host","fdPHost","Manual","Stopped"
"Function Discovery Resource Publication","FDResPub","Manual","Stopped"
"File History Service","fhsvc","Manual","Stopped"
"Windows Font Cache Service","FontCache","Automatic","Running"
"Windows Camera Frame Server","FrameServer","Manual","Stopped"
"Google Chrome Elevation Service (GoogleChromeElevationService)","GoogleChromeElevationService","Manual","Stopped"
"Group Policy Client","gpsvc","Automatic","Stopped"
"GraphicsPerfSvc","GraphicsPerfSvc","Manual","Stopped"
"Google Update Service (gupdate)","gupdate","Automatic","Stopped"
"Google Update Service (gupdatem)","gupdatem","Manual","Stopped"
"Human Interface Device Service","hidserv","Manual","Stopped"
"HV Host Service","HvHost","Manual","Stopped"
"Windows Mobile Hotspot Service","icssvc","Disabled","Stopped"
"IKE and AuthIP IPsec Keying Modules","IKEEXT","Manual","Stopped"
"Microsoft Store Install Service","InstallService","Manual","Stopped"
"IP Helper","iphlpsvc","Automatic","Running"
"IP Translation Configuration Service","IpxlatCfgSvc","Manual","Stopped"
"Infrared monitor service","irmon","Manual","Stopped"
"CNG Key Isolation","KeyIso","Manual","Running"
"KtmRm for Distributed Transaction Coordinator","KtmRm","Manual","Stopped"
"Server","LanmanServer","Automatic","Running"
"Workstation","LanmanWorkstation","Automatic","Running"
"Geolocation Service","lfsvc","Manual","Stopped"
"Windows License Manager Service","LicenseManager","Manual","Stopped"
"Link-Layer Topology Discovery Mapper","lltdsvc","Manual","Stopped"
"TCP/IP NetBIOS Helper","lmhosts","Manual","Running"
"Local Session Manager","LSM","Automatic","Running"
"Language Experience Service","LxpSvc","Manual","Stopped"
"Downloaded Maps Manager","MapsBroker","Automatic","Stopped"
"MessagingService_346ae","MessagingService_346ae","Manual","Stopped"
"Windows Defender Firewall","mpssvc","Automatic","Running"
"Distributed Transaction Coordinator","MSDTC","Manual","Running"
"Microsoft iSCSI Initiator Service","MSiSCSI","Manual","Stopped"
"Windows Installer","msiserver","Manual","Stopped"
"Natural Authentication","NaturalAuthentication","Manual","Stopped"
"Network Connectivity Assistant","NcaSvc","Manual","Stopped"
"Network Connection Broker","NcbService","Manual","Running"
"Network Connected Devices Auto-Setup","NcdAutoSetup","Manual","Stopped"
"Netlogon","Netlogon","Manual","Stopped"
"Network Connections","Netman","Manual","Stopped"
"Network List Service","netprofm","Manual","Running"
"Network Setup Service","NetSetupSvc","Manual","Stopped"
"Net.Tcp Port Sharing Service","NetTcpPortSharing","Disabled","Stopped"
"Microsoft Passport Container","NgcCtnrSvc","Manual","Stopped"
"Microsoft Passport","NgcSvc","Manual","Stopped"
"Network Location Awareness","NlaSvc","Automatic","Running"
"Network Store Interface Service","nsi","Automatic","Running"
"Sync Host_346ae","OneSyncSvc_346ae","Automatic","Running"
"Peer Networking Identity Manager","p2pimsvc","Manual","Stopped"
"Peer Networking Grouping","p2psvc","Manual","Stopped"
"Program Compatibility Assistant Service","PcaSvc","Manual","Running"
"BranchCache","PeerDistSvc","Manual","Stopped"
"Windows Perception Simulation Service","perceptionsimulation","Manual","Stopped"
"Performance Counter DLL Host","PerfHost","Manual","Stopped"
"Phone Service","PhoneSvc","Manual","Stopped"
"Contact Data_346ae","PimIndexMaintenanceSvc_346ae","Manual","Stopped"
"Performance Logs & Alerts","pla","Manual","Stopped"
"Plug and Play","PlugPlay","Manual","Running"
"PNRP Machine Name Publication Service","PNRPAutoReg","Manual","Stopped"
"Peer Name Resolution Protocol","PNRPsvc","Manual","Stopped"
"IPsec Policy Agent","PolicyAgent","Manual","Stopped"
"Power","Power","Automatic","Running"
"Printer Extensions and Notifications","PrintNotify","Manual","Stopped"
"PrintWorkflow_346ae","PrintWorkflowUserSvc_346ae","Manual","Stopped"
"User Profile Service","ProfSvc","Automatic","Running"
"Windows PushToInstall Service","PushToInstall","Manual","Stopped"
"Quality Windows Audio Video Experience","QWAVE","Manual","Stopped"
"Remote Access Auto Connection Manager","RasAuto","Manual","Stopped"
"Remote Access Connection Manager","RasMan","Manual","Stopped"
"Routing and Remote Access","RemoteAccess","Disabled","Stopped"
"Remote Registry","RemoteRegistry","Disabled","Stopped"
"Retail Demo Service","RetailDemo","Disabled","Stopped"
"Radio Management Service","RmSvc","Disabled","Stopped"
"RPC Endpoint Mapper","RpcEptMapper","Automatic","Running"
"Remote Procedure Call (RPC) Locator","RpcLocator","Manual","Stopped"
"Remote Procedure Call (RPC)","RpcSs","Automatic","Running"
"Security Accounts Manager","SamSs","Automatic","Running"
"Smart Card","SCardSvr","Manual","Stopped"
"Smart Card Device Enumeration Service","ScDeviceEnum","Manual","Stopped"
"Task Scheduler","Schedule","Automatic","Running"
"Smart Card Removal Policy","SCPolicySvc","Manual","Stopped"
"Windows Backup","SDRSVC","Manual","Stopped"
"Secondary Logon","seclogon","Manual","Stopped"
"Windows Security Service","SecurityHealthService","Manual","Running"
"Payments and NFC/SE Manager","SEMgrSvc","Disabled","Stopped"
"System Event Notification Service","SENS","Automatic","Running"
"Windows Defender Advanced Threat Protection Service","Sense","Manual","Stopped"
"Sensor Data Service","SensorDataService","Manual","Stopped"
"Sensor Service","SensorService","Manual","Stopped"
"Sensor Monitoring Service","SensrSvc","Manual","Stopped"
"Remote Desktop Configuration","SessionEnv","Manual","Stopped"
"System Guard Runtime Monitor Broker","SgrmBroker","Automatic","Running"
"Internet Connection Sharing (ICS)","SharedAccess","Manual","Stopped"
"Spatial Data Service","SharedRealitySvc","Manual","Stopped"
"Shell Hardware Detection","ShellHWDetection","Automatic","Running"
"Shared PC Account Manager","shpamsvc","Disabled","Stopped"
"Microsoft Storage Spaces SMP","smphost","Manual","Stopped"
"Microsoft Windows SMS Router Service.","SmsRouter","Manual","Stopped"
"SNMP Trap","SNMPTRAP","Manual","Stopped"
"Windows Perception Service","spectrum","Manual","Stopped"
"Print Spooler","Spooler","Automatic","Running"
"Software Protection","sppsvc","Automatic","Stopped"
"SSDP Discovery","SSDPSRV","Manual","Running"
"OpenSSH Authentication Agent","ssh-agent","Disabled","Stopped"
"Secure Socket Tunneling Protocol Service","SstpSvc","Manual","Stopped"
"State Repository Service","StateRepository","Manual","Running"
"Windows Image Acquisition (WIA)","stisvc","Manual","Stopped"
"Storage Service","StorSvc","Manual","Running"
"Spot Verifier","svsvc","Manual","Stopped"
"Microsoft Software Shadow Copy Provider","swprv","Manual","Stopped"
"SysMain","SysMain","Automatic","Running"
"System Events Broker","SystemEventsBroker","Automatic","Running"
"Touch Keyboard and Handwriting Panel Service","TabletInputService","Manual","Running"
"Telephony","TapiSrv","Manual","Stopped"
"Remote Desktop Services","TermService","Manual","Stopped"
"Themes","Themes","Automatic","Running"
"Storage Tiers Management","TieringEngineService","Manual","Stopped"
"Time Broker","TimeBrokerSvc","Manual","Running"
"Web Account Manager","TokenBroker","Manual","Running"
"Distributed Link Tracking Client","TrkWks","Disabled","Stopped"
"Windows Modules Installer","TrustedInstaller","Manual","Stopped"
"Auto Time Zone Updater","tzautoupdate","Disabled","Stopped"
"User Experience Virtualization Service","UevAgentService","Disabled","Stopped"
"Remote Desktop Services UserMode Port Redirector","UmRdpService","Manual","Stopped"
"User Data Storage_346ae","UnistoreSvc_346ae","Manual","Stopped"
"UPnP Device Host","upnphost","Manual","Stopped"
"User Data Access_346ae","UserDataSvc_346ae","Manual","Stopped"
"User Manager","UserManager","Automatic","Running"
"Update Orchestrator Service","UsoSvc","Automatic","Running"
"Volumetric Audio Compositor Service","VacSvc","Manual","Stopped"
"Credential Manager","VaultSvc","Manual","Running"
"Virtual Disk","vds","Manual","Stopped"
"VMware Alias Manager and Ticket Service","VGAuthService","Automatic","Running"
"VMware SVGA Helper Service","VM3DService","Automatic","Running"
"Hyper-V Guest Service Interface","vmicguestinterface","Manual","Stopped"
"Hyper-V Heartbeat Service","vmicheartbeat","Manual","Stopped"
"Hyper-V Data Exchange Service","vmickvpexchange","Manual","Stopped"
"Hyper-V Remote Desktop Virtualization Service","vmicrdv","Manual","Stopped"
"Hyper-V Guest Shutdown Service","vmicshutdown","Manual","Stopped"
"Hyper-V Time Synchronization Service","vmictimesync","Manual","Stopped"
"Hyper-V PowerShell Direct Service","vmicvmsession","Manual","Stopped"
"Hyper-V Volume Shadow Copy Requestor","vmicvss","Manual","Stopped"
"VMware Tools","VMTools","Automatic","Running"
"VMware Snapshot Provider","vmvss","Manual","Stopped"
"Volume Shadow Copy","VSS","Manual","Stopped"
"Windows Time","W32Time","Manual","Stopped"
"Windows Update Medic Service","WaaSMedicSvc","Manual","Stopped"
"WalletService","WalletService","Manual","Stopped"
"WarpJITSvc","WarpJITSvc","Manual","Stopped"
"Block Level Backup Engine Service","wbengine","Manual","Stopped"
"Windows Biometric Service","WbioSrvc","Manual","Stopped"
"Windows Connection Manager","Wcmsvc","Automatic","Running"
"Windows Connect Now - Config Registrar","wcncsvc","Manual","Stopped"
"Diagnostic Service Host","WdiServiceHost","Manual","Stopped"
"Diagnostic System Host","WdiSystemHost","Manual","Stopped"
"Windows Defender Antivirus Network Inspection Service","WdNisSvc","Manual","Running"
"WebClient","WebClient","Manual","Stopped"
"Windows Event Collector","Wecsvc","Manual","Stopped"
"Windows Encryption Provider Host Service","WEPHOSTSVC","Manual","Stopped"
"Problem Reports and Solutions Control Panel Support","wercplsupport","Manual","Stopped"
"Windows Error Reporting Service","WerSvc","Disabled","Stopped"
"Wi-Fi Direct Services Connection Manager Service","WFDSConMgrSvc","Manual","Stopped"
"Still Image Acquisition Events","WiaRpc","Manual","Stopped"
"Windows Defender Antivirus Service","WinDefend","Automatic","Running"
"WinHTTP Web Proxy Auto-Discovery Service","WinHttpAutoProxySvc","Manual","Running"
"Windows Management Instrumentation","Winmgmt","Automatic","Running"
"Windows Remote Management (WS-Management)","WinRM","Manual","Stopped"
"Windows Insider Service","wisvc","Manual","Stopped"
"WLAN AutoConfig","WlanSvc","Manual","Stopped"
"Microsoft Account Sign-in Assistant","wlidsvc","Manual","Stopped"
"Local Profile Assistant Service","wlpasvc","Manual","Stopped"
"Windows Management Service","WManSvc","Manual","Stopped"
"WMI Performance Adapter","wmiApSrv","Manual","Stopped"
"Windows Media Player Network Sharing Service","WMPNetworkSvc","Manual","Stopped"
"Work Folders","workfolderssvc","Manual","Stopped"
"Parental Controls","WpcMonSvc","Manual","Stopped"
"Portable Device Enumerator Service","WPDBusEnum","Manual","Stopped"
"Windows Push Notifications System Service","WpnService","Automatic","Running"
"Windows Push Notifications User Service_346ae","WpnUserService_346ae","Automatic","Running"
"Security Center","wscsvc","Automatic","Running"
"Windows Search","WSearch","Automatic","Running"
"Windows Update","wuauserv","Manual","Running"
"WWAN AutoConfig","WwanSvc","Manual","Stopped"
"Xbox Live Auth Manager","XblAuthManager","Manual","Stopped"
"Xbox Live Game Save","XblGameSave","Manual","Stopped"
"Xbox Accessory Management Service","XboxGipSvc","Manual","Stopped"
"Xbox Live Networking Service","XboxNetApiSvc","Manual","Stopped"
